id,marker,meanrr,medianrr,meanhr,sdnn,rmssd,nn50,p_nn50,vlf_percent,lf_percent,hf_percent,lf_hf,lf_n_u,hf_n_u,vlf_abs,lf_abs,hf_abs,recordingtime_s
mosomedve,baseline,819.2274,812.5,73.2397,69.8747,43.4006,30,20.8333,16.4214,79.0447,4.5339,17.434,94.5753,5.4247,1063.2265,5117.8626,293.5557,117.9688
mosomedve,cognitive,714.1787,710.9375,84.0126,52.2932,28.0913,37,6.8266,24.162,64.6553,11.1827,5.7818,85.2545,14.7455,671.5192,1796.9227,310.792,387.0848
mosomedve,physical,604.4359,593.75,99.2661,47.7678,20.8807,7,3.5,18.4727,56.3642,25.1631,2.24,69.1354,30.8646,236.2512,720.8516,321.8152,120.88720000000001
napfeny,baseline,949.2177,953.125,63.2099,104.8917,114.9336,96,72.1805,9.463,11.4505,79.0865,0.1448,12.6473,87.3527,983.7271,1190.3423,8221.4861,126.246
napfeny,cognitive,909.19,890.625,65.9928,113.4608,112.9377,292,67.5926,15.6754,15.5804,68.7442,0.2266,18.4767,81.5233,1871.9673,1860.629,8209.4971,392.7701
napfeny,physical,837.4139,820.3125,71.6492,98.72,76.012,74,51.7483,18.7167,18.8211,62.4622,0.3013,23.1549,76.8451,1852.7668,1863.0971,6183.1228,119.7502
napsutes,baseline,1006.8358,1007.8125,59.5926,54.7857,67.6347,55,47.0085,15.2279,27.6614,57.1108,0.4843,32.6303,67.3697,277.1034,503.358,1039.2529,117.7998
napsutes,cognitive,928.544,929.6875,64.6173,73.5392,73.0385,198,47.482,25.2818,41.1808,33.5374,1.2279,55.1148,44.8852,1428.5637,2326.948,1895.0551,387.2028
napsutes,physical,841.7899,847.6563,71.2767,44.6711,28.1558,8,5.6338,52.6998,30.6234,16.6768,1.8363,64.7426,35.2574,778.2535,452.2371,246.2779,119.5342
nc1xin,baseline,806.6539,796.875,74.3813,61.1055,41.5552,20,13.6054,10.5303,74.445,15.0247,4.9548,83.207,16.793,346.0763,2446.618,493.7827,118.5781
nc1xin,cognitive,888.8647,882.8125,67.5018,101.5681,53.1198,123,28.211,29.5675,54.0763,16.3562,3.3062,76.7775,23.2225,2133.3171,3901.6384,1180.112,387.545
nc1xin,physical,773.2079,765.625,77.5988,69.6608,43.8193,30,19.4805,24.3623,52.9172,22.7205,2.3291,69.9614,30.0386,1394.2549,3028.458,1300.2961,119.074
nem c56qme,baseline,714.1927,726.5625,84.0109,62.0623,27.3836,12,7.1429,28.132,64.7718,7.0962,9.1277,90.126,9.874,961.7177,2214.285,242.5909,119.9844
nem c56qme,cognitive,709.2262,703.125,84.5992,59.8839,28.2035,33,6.044,33.0554,58.0081,8.9365,6.4911,86.6509,13.3491,995.0864,1746.2542,269.0222,387.2375
nem c56qme,physical,704.0002,695.3125,85.2272,68.5423,32.6616,15,8.8235,31.6523,53.2444,15.1033,3.5253,77.9022,22.0978,1569.6277,2640.3743,748.9698,119.68
noncsi,baseline,922.2358,921.875,65.0593,118.7421,92.333,71,55.9055,49.2841,32.6798,18.0361,1.8119,64.437,35.563,8224.683,5453.7059,3009.9228,117.1239
noncsi,cognitive,920.9288,906.25,65.1516,119.05,115.1978,262,63.285,10.2615,35.1449,54.5936,0.6438,39.1637,60.8363,1081.1801,3702.9576,5752.1143,381.2645
noncsi,physical,744.0617,734.375,80.6385,62.0017,51.0822,39,24.2236,13.4821,69.7674,16.7505,4.1651,80.6393,19.3607,699.5176,3619.8755,869.0957,119.7939
oroszlan,baseline,958.1023,949.2188,62.6238,61.5184,40.7523,22,17.7419,7.0026,79.545,13.4524,5.9131,85.5347,14.4653,392.6124,4459.7979,754.2266,118.8047
oroszlan,cognitive,964.9786,960.9375,62.1775,56.4707,41.1686,81,20.1995,16.0383,70.2796,13.6821,5.1366,83.7044,16.2956,556.9082,2440.3711,475.0934,386.9564
oroszlan,physical,801.828,812.5,74.829,70.1166,31.5486,8,5.2288,39.9909,56.9633,3.0459,18.7018,94.9243,5.0757,1075.8834,1532.495,81.9438,122.6797
